epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4700.58,1.22883,1.34726,1.22652,0.91634,0.82498,0.94154,0.61469,1.04429,0.89187,1.17363,0.0006666,0.0006666,0.0006666
2,9575.04,1.01421,0.77575,1.10426,0.92337,0.90647,0.97692,0.74742,0.85988,0.60604,1.07681,0.00120127,0.00120127,0.00120127
3,14444.9,0.89032,0.60278,1.02893,0.94964,0.90047,0.98077,0.79051,0.7512,0.51039,1.01059,0.00160395,0.00160395,0.00160395
4,19385.2,0.76827,0.51959,0.96857,0.95147,0.90026,0.98052,0.83727,0.60944,0.45571,0.97842,0.001406,0.001406,0.001406
5,24276.2,0.6496,0.46386,0.91778,0.94258,0.91464,0.9818,0.85807,0.54967,0.41383,0.96,0.001208,0.001208,0.001208
6,29343.5,0.57349,0.42556,0.88669,0.94594,0.91047,0.98202,0.86436,0.52572,0.40188,0.96941,0.00101,0.00101,0.00101
7,34407.2,0.51973,0.38954,0.86602,0.9963,0.86626,0.97997,0.87491,0.49812,0.37645,0.95662,0.000812,0.000812,0.000812
8,39586.1,0.47364,0.34722,0.85026,0.99727,0.89577,0.98622,0.88384,0.48465,0.35131,0.96239,0.000614,0.000614,0.000614
9,45377.1,0.43189,0.30875,0.83563,0.98934,0.94668,0.9923,0.89423,0.47625,0.30083,0.95327,0.000416,0.000416,0.000416
10,51138,0.38877,0.27247,0.82314,0.98017,0.93188,0.99109,0.90412,0.44196,0.28221,0.94945,0.000218,0.000218,0.000218
